name,lon,lat,building_height_m,required_height_m,spare_m,distance_km
,80.02819,7.08791,3.2,2.1,1.1,60.5
,80.00642,7.05388,3.2,2.1,1.1,60.8
,79.91579,7.10074,3.2,2.1,1.1,72.1
,79.96558,7.09415,3.2,2.1,1.1,66.9
,79.91491,7.08656,3.2,2.1,1.1,71.5
,79.9148,7.08674,3.2,2.1,1.1,71.5
,80.01539,7.07875,3.2,2.1,1.1,61.2
,80.01242,7.04642,3.2,2.1,1.1,59.9
,80.01522,7.02173,3.2,2.1,1.1,58.4
,80.01237,7.03663,3.2,2.1,1.1,59.4
,79.99532,7.03538,3.2,2.1,1.1,61.1
,79.99373,7.0345,3.2,2.1,1.1,61.2
,79.99504,7.03224,3.2,2.1,1.1,60.9
,80.00733,7.03465,3.2,2.1,1.1,59.8
,80.00632,7.03329,3.2,2.1,1.1,59.9
,79.99472,7.03256,3.2,2.1,1.1,61.0
,79.99461,7.0326,3.2,2.1,1.1,61.0
,80.00978,7.02633,3.2,2.1,1.1,59.2
,80.00956,7.02649,3.2,2.1,1.1,59.2
,79.93688,7.06702,3.2,2.1,1.1,68.4
,79.93697,7.06697,3.2,2.1,1.1,68.4
,79.92679,7.06407,3.2,2.1,1.1,69.3
,79.9273,7.06313,3.2,2.1,1.1,69.2
,79.92678,7.06419,3.2,2.1,1.1,69.3
,80.00278,7.02619,3.2,2.1,1.1,59.9
,80.00277,7.02612,3.2,2.1,1.1,59.9
,79.93434,7.06739,3.2,2.1,1.1,68.7
,79.93451,7.06758,3.2,2.1,1.1,68.6
,79.9344,7.0675,3.2,2.1,1.1,68.7
,80.00385,7.00972,3.2,2.1,1.1,59.1
,80.02724,7.02776,3.2,2.1,1.1,57.5
,80.02876,7.02832,3.2,2.1,1.1,57.4
,80.02857,7.02837,3.2,2.1,1.1,57.4
,80.02863,7.02839,3.2,2.1,1.1,57.4
,79.94405,7.08592,3.2,2.1,1.1,68.6
,79.94414,7.08597,3.2,2.1,1.1,68.6
,79.92506,7.08856,6.4,5.3,1.1,70.6
,79.94331,7.0863,3.2,2.1,1.1,68.7
,80.02903,7.09548,3.2,2.1,1.1,60.8
,79.98596,7.03349,3.2,2.1,1.1,61.9
,79.9777,7.09478,3.2,2.1,1.1,65.7
,79.99431,7.05833,3.2,2.1,1.1,62.2
,80.00287,7.07188,3.2,2.1,1.1,62.1
,79.96089,7.06769,6.4,5.3,1.1,66.0
,79.96102,7.0679,6.4,5.3,1.1,66.0
,79.96092,7.0679,6.4,5.3,1.1,66.0
,79.89774,7.06167,3.2,2.1,1.1,72.1
,79.98775,7.08996,3.2,2.1,1.1,64.5
,80.05417,7.11646,3.2,2.1,1.1,59.8
,80.01255,7.10233,3.2,2.1,1.1,62.8
,79.98885,7.08806,3.2,2.1,1.1,64.3
,80.00347,7.08892,3.2,2.1,1.1,62.9
,79.98902,7.08815,3.2,2.1,1.1,64.3
,79.98882,7.0882,3.2,2.1,1.1,64.3
,79.97682,7.09761,3.2,2.1,1.1,66.0
,80.01258,7.05785,3.2,2.1,1.1,60.4
,80.03355,7.08514,6.4,5.3,1.1,59.8
,80.01275,7.09223,3.2,2.1,1.1,62.2
,80.02069,7.09243,3.2,2.1,1.1,61.5
,80.00417,7.06281,3.2,2.1,1.1,61.5
,80.00424,7.06271,3.2,2.1,1.1,61.5
,80.00293,7.06762,3.2,2.1,1.1,61.9
,80.00417,7.06261,3.2,2.1,1.1,61.5
,80.00427,7.0626,3.2,2.1,1.1,61.5
,80.00019,7.06235,3.2,2.1,1.1,61.9
,80.00294,7.06754,3.2,2.1,1.1,61.8
,80.00366,7.07102,6.4,5.3,1.1,62.0
,80.02261,7.03381,3.2,2.1,1.1,58.2
,80.01185,7.07316,3.2,2.1,1.1,61.3
,80.01179,7.07335,3.2,2.1,1.1,61.3
,79.96707,7.03432,3.2,2.1,1.1,63.9
,80.02153,7.10745,3.2,2.1,1.1,62.2
,80.00531,7.05008,3.2,2.1,1.1,60.7
,79.9504,7.07905,6.4,5.3,1.1,67.6
,80.04718,7.09581,3.2,2.1,1.1,59.2
,80.0132,7.06586,3.2,2.1,1.1,60.8
,80.01317,7.06596,3.2,2.1,1.1,60.8
,80.00963,7.08928,3.2,2.1,1.1,62.3
,80.0083,7.01217,3.2,2.1,1.1,58.7
,80.01802,7.04824,3.2,2.1,1.1,59.4
,79.99344,7.04451,3.2,2.1,1.1,61.7
,79.99345,7.04459,3.2,2.1,1.1,61.7
,79.99326,7.04455,3.2,2.1,1.1,61.7
,80.03547,7.07798,3.2,2.1,1.1,59.2
,80.02082,7.0785,3.2,2.1,1.1,60.7
,79.97183,7.02994,3.2,2.1,1.1,63.2
,79.97185,7.02982,3.2,2.1,1.1,63.2
,79.9472,7.09963,3.2,2.1,1.1,68.9
,80.00628,7.02364,3.2,2.1,1.1,59.4
,80.00609,7.0236,3.2,2.1,1.1,59.4
,80.00606,7.0237,3.2,2.1,1.1,59.4
Menade cetrin service,79.94058,7.10082,3.2,2.1,1.1,69.7
,79.94095,7.10266,3.2,2.1,1.1,69.7
,79.95007,7.08603,3.2,2.1,1.1,68.0
,79.95415,7.09434,3.2,2.1,1.1,68.0
,79.97077,7.03931,3.2,2.1,1.1,63.7
,79.93785,7.10044,3.2,2.1,1.1,69.9
,80.01292,7.09222,3.2,2.1,1.1,62.2
,79.96641,7.04799,3.2,2.1,1.1,64.5
,79.96651,7.04795,3.2,2.1,1.1,64.5
,80.01374,7.06475,3.2,2.1,1.1,60.6
,80.02529,7.06117,3.2,2.1,1.1,59.3
,80.02541,7.06123,3.2,2.1,1.1,59.3
,80.02537,7.06106,3.2,2.1,1.1,59.3
,80.01871,7.10854,3.2,2.1,1.1,62.6
,80.01426,7.07981,3.2,2.1,1.1,61.4
,80.01806,7.08119,3.2,2.1,1.1,61.1
,80.03237,7.10938,6.4,5.3,1.1,61.4
,80.0007,7.09037,3.2,2.1,1.1,63.3
,80.00062,7.09037,3.2,2.1,1.1,63.3
,80.03334,7.07624,6.4,5.3,1.1,59.4
,80.02059,7.07857,3.2,2.1,1.1,60.7
,79.96914,7.07221,3.2,2.1,1.1,65.4
,79.92625,7.0707,3.2,2.1,1.1,69.6
,80.02817,7.1108,3.2,2.1,1.1,61.8
,80.02426,7.0847,3.2,2.1,1.1,60.7
,80.01834,7.10087,3.2,2.1,1.1,62.2
,80.01816,7.10109,3.2,2.1,1.1,62.2
,80.01818,7.1009,3.2,2.1,1.1,62.2
,79.93228,7.10835,3.2,2.1,1.1,70.9
,80.01694,7.07119,3.2,2.1,1.1,60.7
,79.91665,7.12528,3.2,2.1,1.1,73.3
,79.95006,7.08582,3.2,2.1,1.1,68.0
,80.02333,7.11002,3.2,2.1,1.1,62.2
,80.02839,7.08701,3.2,2.1,1.1,60.4
,79.88225,7.10548,3.2,2.1,1.1,75.7
,79.87876,7.09837,3.2,2.1,1.1,75.7
,80.04744,7.0958,3.2,2.1,1.1,59.1
,79.89141,7.09488,3.2,2.1,1.1,74.2
Toppi wedapala,79.89339,7.09413,3.2,2.1,1.1,74.0
,79.89277,7.09291,3.2,2.1,1.1,74.0
,79.88907,7.10761,3.2,2.1,1.1,75.1
,79.89092,7.10142,3.2,2.1,1.1,74.6
,79.88974,7.10694,3.2,2.1,1.1,75.0
,79.88906,7.10566,3.2,2.1,1.1,75.0
,80.00544,7.09079,3.2,2.1,1.1,62.8
,79.87907,7.09498,3.2,2.1,1.1,75.5
,79.87897,7.09497,3.2,2.1,1.1,75.5
,79.87899,7.09492,3.2,2.1,1.1,75.5
,79.93494,7.09063,3.2,2.1,1.1,69.7
,79.89579,7.07784,3.2,2.1,1.1,73.0
,79.89102,7.09961,3.2,2.1,1.1,74.5
,79.91831,7.12016,6.4,5.3,1.1,72.8
,79.88786,7.08049,6.4,5.3,1.1,73.9
,79.88467,7.06062,3.2,2.1,1.1,73.4
,79.89306,7.07561,6.4,5.3,1.1,73.2
,79.9015,7.08263,3.2,2.1,1.1,72.7
,79.91227,7.09588,3.2,2.1,1.1,72.2
,79.91246,7.09591,3.2,2.1,1.1,72.2
,79.91662,7.10095,3.2,2.1,1.1,72.0
,79.91676,7.10132,3.2,2.1,1.1,72.0
,79.91668,7.10118,3.2,2.1,1.1,72.0
,79.91676,7.10099,3.2,2.1,1.1,72.0
,79.89283,7.06023,6.4,5.3,1.1,72.5
,79.89288,7.06141,3.2,2.1,1.1,72.6
,79.89339,7.06481,3.2,2.1,1.1,72.7
,79.89337,7.06506,3.2,2.1,1.1,72.7
,79.89711,7.12244,3.2,2.1,1.1,75.0
,79.89704,7.12233,3.2,2.1,1.1,75.0
,79.89722,7.12249,3.2,2.1,1.1,75.0
,79.89696,7.12241,3.2,2.1,1.1,75.0
,79.89718,7.12236,3.2,2.1,1.1,75.0
,79.89906,7.08305,3.2,2.1,1.1,72.9
Wijesekara,80.58483,7.17934,3.2,2.1,1.1,42.0
,79.89469,7.08308,6.4,5.3,1.1,73.4
,79.89459,7.0831,6.4,5.3,1.1,73.4
,79.8938,7.08312,3.2,2.1,1.1,73.5
,79.97138,7.02911,3.2,2.1,1.1,63.2
,79.91731,7.11807,3.2,2.1,1.1,72.8
,79.98635,7.04586,6.4,5.3,1.1,62.4
,79.92114,7.12078,3.2,2.1,1.1,72.6
,79.96094,7.06716,3.2,2.1,1.1,66.0
,80.00748,7.08124,3.2,2.1,1.1,62.1
,79.98949,7.07495,3.2,2.1,1.1,63.5
,79.99193,7.05399,3.2,2.1,1.1,62.3
,79.91114,7.0823,3.2,2.1,1.1,71.7
,79.88733,7.1136,3.2,2.1,1.1,75.5
,79.88733,7.11342,3.2,2.1,1.1,75.5
,79.88732,7.11352,3.2,2.1,1.1,75.5
,79.91964,7.13693,3.2,2.1,1.1,73.6
,80.01863,7.02358,3.2,2.1,1.1,58.2
,80.01868,7.02371,3.2,2.1,1.1,58.2
,79.91746,7.12576,3.2,2.1,1.1,73.2
,79.91092,7.13088,3.2,2.1,1.1,74.1
,79.88736,7.12824,3.2,2.1,1.1,76.3
Priyantha Guruge's residence,80.03521,6.89286,10.0,8.9,1.1,52.1
,79.95042,7.06995,3.2,2.1,1.1,67.2
,79.88719,7.12811,3.2,2.1,1.1,76.3
,79.88721,7.12803,3.2,2.1,1.1,76.3
,79.8873,7.12807,3.2,2.1,1.1,76.3
,79.92904,7.14464,3.2,2.1,1.1,73.1
,80.01028,7.02305,3.2,2.1,1.1,59.0
,80.05398,7.11656,3.2,2.1,1.1,59.8
,79.88629,7.11324,3.2,2.1,1.1,75.6
,79.89866,7.08272,3.2,2.1,1.1,72.9
,79.89941,7.06568,3.2,2.1,1.1,72.1
,79.89784,7.06601,3.2,2.1,1.1,72.3
,79.89778,7.06592,3.2,2.1,1.1,72.3
,79.91531,7.06708,3.2,2.1,1.1,70.6
,79.92127,7.12084,3.2,2.1,1.1,72.6
,79.90219,7.0724,3.2,2.1,1.1,72.1
,79.9022,7.07217,3.2,2.1,1.1,72.1
,79.93347,7.07732,3.2,2.1,1.1,69.2
,79.93061,7.07738,3.2,2.1,1.1,69.5
,79.92065,7.14142,3.2,2.1,1.1,73.7
,79.94879,7.16937,3.2,2.1,1.1,72.7
,79.91507,6.97515,3.2,2.1,1.1,67.1
,80.3434,6.69472,3.2,2.1,1.1,21.4
,80.30009,7.37702,3.2,2.1,1.1,66.5
,80.30002,7.3769,3.2,2.1,1.1,66.5
,80.23984,7.29234,9.6,8.5,1.1,60.6
,80.23998,7.29235,9.6,8.5,1.1,60.6
,80.03758,7.14032,3.0,1.9,1.1,62.8
,80.27383,7.81713,3.2,2.1,1.1,114.2
,80.27442,7.8179,3.2,2.1,1.1,114.3
,80.27168,7.81694,3.2,2.1,1.1,114.2
,80.2713,7.81756,3.2,2.1,1.1,114.3
,80.27314,7.81924,3.2,2.1,1.1,114.4
,80.03886,6.29083,3.2,2.1,1.1,76.7
,80.03871,6.29069,3.2,2.1,1.1,76.7
,80.11414,6.61778,3.2,2.1,1.1,47.6
,80.10135,6.62704,3.2,2.1,1.1,48.4
,80.07626,6.64493,3.2,2.1,1.1,50.2
,80.07493,6.64771,3.2,2.1,1.1,50.2
,80.07956,6.66032,3.2,2.1,1.1,49.3
,80.1011,6.71588,3.2,2.1,1.1,45.2
,80.09836,6.7025,3.2,2.1,1.1,45.9
,80.09275,6.69022,3.2,2.1,1.1,46.9
,80.08019,6.68556,3.2,2.1,1.1,48.3
,80.07002,6.66789,3.2,2.1,1.1,50.0
,80.06026,6.65685,3.2,2.1,1.1,51.4
,80.07544,6.69647,3.2,2.1,1.1,48.5
,80.2199,6.37321,3.2,2.1,1.1,57.3
,80.2182,6.37237,3.2,2.1,1.1,57.5
,80.22195,6.35302,3.2,2.1,1.1,59.1
,80.35409,6.66336,3.2,2.1,1.1,22.8
,80.35865,6.63424,3.2,2.1,1.1,24.9
,80.35294,6.64674,3.2,2.1,1.1,24.2
,80.39783,6.64343,3.2,2.1,1.1,21.5
,80.35299,6.66743,3.2,2.1,1.1,22.6
,80.34599,6.67514,3.2,2.1,1.1,22.5
,80.07614,6.645,3.2,2.1,1.1,50.2
,80.0763,6.64509,3.2,2.1,1.1,50.2
,80.10218,6.62419,3.2,2.1,1.1,48.5
,80.06713,6.65227,3.2,2.1,1.1,50.9
,80.1149,6.6159,3.2,2.1,1.1,47.6
,80.10213,6.64195,3.2,2.1,1.1,47.7
,80.1055,6.70692,3.2,2.1,1.1,45.0
,80.36557,6.69167,3.2,2.1,1.1,19.7
,80.30458,6.717,3.2,2.1,1.1,23.8
,80.3119,6.69058,3.2,2.1,1.1,24.5
,80.31498,6.68752,3.2,2.1,1.1,24.4
,80.36339,6.69532,3.2,2.1,1.1,19.6
,80.31902,6.68566,3.2,2.1,1.1,24.2
,80.2225,6.36054,3.2,2.1,1.1,58.3
,80.30725,6.70189,3.2,2.1,1.1,24.3
,80.21348,6.36583,3.2,2.1,1.1,58.4
,80.3838,6.66119,3.2,2.1,1.1,20.8
,80.0699,6.66781,3.2,2.1,1.1,50.0
,80.05712,6.65393,3.2,2.1,1.1,51.8
,80.34582,6.67517,3.2,2.1,1.1,22.6
,80.34599,6.67529,3.2,2.1,1.1,22.5
,80.38394,6.66123,3.2,2.1,1.1,20.8
,80.38373,6.6607,3.2,2.1,1.1,20.8
,80.37024,6.64425,3.2,2.1,1.1,23.2
,80.35293,6.64661,3.2,2.1,1.1,24.2
,80.30734,6.70191,3.2,2.1,1.1,24.3
,80.29851,6.71164,3.2,2.1,1.1,24.7
,80.21997,6.72013,3.2,2.1,1.1,32.4
,80.11416,6.61771,3.2,2.1,1.1,47.6
,80.08015,6.64774,3.2,2.1,1.1,49.7
,80.84472,6.31976,3.2,2.1,1.1,66.3
hub 1 of sltc,80.09139,6.85469,9.6,8.5,1.1,45.4
,80.27428,7.81973,3.2,2.1,1.1,114.5
,79.90827,6.85837,3.2,2.1,1.1,65.6
,80.27328,7.81239,3.2,2.1,1.1,113.7
,80.27276,7.81207,3.2,2.1,1.1,113.7
,80.27322,7.81491,3.2,2.1,1.1,114.0
,79.96075,7.05679,3.2,2.2,1.0,65.5
,80.15114,7.36448,3.2,2.2,1.0,72.4
,79.95387,7.05909,3.2,2.2,1.0,66.3
,80.00102,7.04926,3.2,2.2,1.0,61.1
,80.01355,7.01781,3.2,2.2,1.0,58.4
,79.95687,7.07145,3.2,2.2,1.0,66.6
,79.95156,7.06422,3.2,2.2,1.0,66.8
,79.94976,7.05927,3.2,2.2,1.0,66.7
,79.95002,7.05932,3.2,2.2,1.0,66.7
,80.05472,7.11481,3.2,2.2,1.0,59.6
,80.05463,7.11492,3.2,2.2,1.0,59.6
,80.05455,7.11475,3.2,2.2,1.0,59.6
,79.96205,7.07175,6.4,5.4,1.0,66.1
,79.96205,7.07189,6.4,5.4,1.0,66.1
,79.9674,7.06315,3.2,2.2,1.0,65.1
,79.97972,7.06077,3.2,2.2,1.0,63.8
,79.98043,7.04718,3.2,2.2,1.0,63.1
,79.96642,7.0671,3.2,2.2,1.0,65.4
,79.9673,7.05903,3.2,2.2,1.0,65.0
,79.96654,7.06201,3.2,2.2,1.0,65.2
,79.96654,7.06218,3.2,2.2,1.0,65.2
,79.9774,7.0972,3.2,2.2,1.0,65.9
,79.98874,7.07919,3.2,2.2,1.0,63.8
,79.96556,7.04977,3.2,2.2,1.0,64.7
,79.98788,7.0812,3.2,2.2,1.0,64.0
,79.96905,7.08143,3.2,2.2,1.0,65.9
,79.96491,7.07969,3.2,2.2,1.0,66.2
,79.97145,7.05674,3.2,2.2,1.0,64.4
,79.97128,7.05677,3.2,2.2,1.0,64.5
,79.95998,7.06458,6.4,5.4,1.0,66.0
,79.95984,7.06453,6.4,5.4,1.0,66.0
,79.95987,7.06445,6.4,5.4,1.0,66.0
,79.97482,7.06983,3.2,2.2,1.0,64.7
,79.97475,7.06958,3.2,2.2,1.0,64.7
,79.97976,7.07287,3.2,2.2,1.0,64.4
,79.97911,7.07136,6.4,5.4,1.0,64.4
,79.95318,7.09344,6.4,5.4,1.0,68.0
,79.96569,7.09154,3.2,2.2,1.0,66.7
,79.97599,7.09333,3.2,2.2,1.0,65.8
,79.98916,7.06607,3.2,2.2,1.0,63.1
,79.99143,7.06168,3.2,2.2,1.0,62.7
,80.01206,7.04657,3.2,2.2,1.0,59.9
,79.93361,7.07274,3.2,2.2,1.0,69.0
,79.99207,7.06091,3.2,2.2,1.0,62.6
,80.00499,7.09274,3.2,2.2,1.0,63.0
,79.94792,7.07799,3.2,2.2,1.0,67.8
,79.9426,7.09399,3.2,2.2,1.0,69.1
,80.00339,7.09175,3.2,2.2,1.0,63.1
,79.95163,7.07679,3.2,2.2,1.0,67.4
,79.95071,7.07725,6.4,5.4,1.0,67.5
,79.95056,7.07727,6.4,5.4,1.0,67.5
,79.95273,7.07764,3.2,2.2,1.0,67.3
,79.95293,7.07752,3.2,2.2,1.0,67.3
,79.95272,7.07748,3.2,2.2,1.0,67.3
,79.94288,7.09174,3.2,2.2,1.0,69.0
,79.95763,7.07821,3.2,2.2,1.0,66.8
,79.94545,7.08554,3.2,2.2,1.0,68.4
,79.96631,7.07697,3.2,2.2,1.0,65.9
,79.96491,7.07864,3.2,2.2,1.0,66.1
,80.00623,7.10155,3.2,2.2,1.0,63.4
,80.00633,7.10153,3.2,2.2,1.0,63.3
,79.95291,7.08153,3.2,2.2,1.0,67.5
,79.95274,7.08155,3.2,2.2,1.0,67.5
,79.95664,7.07975,3.2,2.2,1.0,67.0
,79.9515,7.08204,3.2,2.2,1.0,67.6
,79.95437,7.08221,3.2,2.2,1.0,67.4
,80.01198,7.10179,3.2,2.2,1.0,62.8
,80.01121,7.0577,3.2,2.2,1.0,60.5
,80.01874,7.10134,3.2,2.2,1.0,62.2
,80.0142,7.09622,3.2,2.2,1.0,62.3
,80.03553,7.07962,3.2,2.2,1.0,59.3
,80.03569,7.07969,3.2,2.2,1.0,59.3
,80.01382,7.09809,3.2,2.2,1.0,62.4
,79.95611,7.07587,3.2,2.2,1.0,66.9
,79.93512,7.10235,3.2,2.2,1.0,70.3
,80.00103,7.09396,3.2,2.2,1.0,63.4
,79.93486,7.10529,3.2,2.2,1.0,70.4
,79.93489,7.10572,3.2,2.2,1.0,70.5
,79.95401,7.08099,3.2,2.2,1.0,67.3
,79.95389,7.08098,3.2,2.2,1.0,67.4
,80.01041,7.09403,3.2,2.2,1.0,62.5
,79.98212,7.06378,3.2,2.2,1.0,63.7
,79.98131,7.06439,3.2,2.2,1.0,63.8
,79.98142,7.06431,3.2,2.2,1.0,63.8
,79.95514,7.07593,3.2,2.2,1.0,67.0
,79.95489,7.0762,3.2,2.2,1.0,67.0
,79.95487,7.0758,3.2,2.2,1.0,67.0
,79.95514,7.07624,3.2,2.2,1.0,67.0
,79.9549,7.0761,3.2,2.2,1.0,67.0
,79.95475,7.07593,3.2,2.2,1.0,67.0
,79.95472,7.076,3.2,2.2,1.0,67.0
,79.9926,7.06777,3.2,2.2,1.0,62.9
,79.9944,7.06443,3.2,2.2,1.0,62.5
,79.99136,7.05023,3.2,2.2,1.0,62.1
,79.95072,7.07112,6.4,5.4,1.0,67.2
,79.95353,7.07841,3.2,2.2,1.0,67.3
,79.95375,7.07837,3.2,2.2,1.0,67.2
,80.02127,7.1076,3.2,2.2,1.0,62.3
,79.94217,7.07343,3.2,2.2,1.0,68.2
,79.93884,7.07928,3.2,2.2,1.0,68.8
,80.02841,7.0957,3.2,2.2,1.0,60.9
,79.92659,7.10996,3.2,2.2,1.0,71.5
,79.92679,7.11015,3.2,2.2,1.0,71.5
,80.03312,7.07915,3.2,2.2,1.0,59.5
,80.03023,7.10931,3.2,2.2,1.0,61.5
,80.03009,7.10928,3.2,2.2,1.0,61.6
,79.9301,7.10493,3.2,2.2,1.0,70.9
,79.93375,7.10948,3.2,2.2,1.0,70.8
,79.9295,7.10227,3.2,2.2,1.0,70.8
,79.92934,7.10221,3.2,2.2,1.0,70.8
,79.93093,7.101,3.2,2.2,1.0,70.6
,79.93341,7.10644,3.2,2.2,1.0,70.6
,80.03024,7.09612,3.2,2.2,1.0,60.8
,79.94558,7.10326,3.2,2.2,1.0,69.3
,79.94291,7.10282,3.2,2.2,1.0,69.5
,79.94311,7.10281,3.2,2.2,1.0,69.5
,80.00389,7.0522,3.2,2.2,1.0,61.0
,80.00728,7.06847,3.2,2.2,1.0,61.5
,80.00706,7.06839,3.2,2.2,1.0,61.5
,80.00727,7.06834,3.2,2.2,1.0,61.5
,80.01784,7.05106,3.2,2.2,1.0,59.6
,79.93871,7.10354,3.2,2.2,1.0,70.0
,79.93855,7.10361,3.2,2.2,1.0,70.0
,80.00387,7.07231,3.2,2.2,1.0,62.0
,80.00394,7.07212,3.2,2.2,1.0,62.0
,79.93686,7.10499,3.2,2.2,1.0,70.2
,80.0034,7.06364,3.2,2.2,1.0,61.6
,80.01402,7.05494,3.2,2.2,1.0,60.1
,79.94117,7.10195,3.2,2.2,1.0,69.7
,80.01271,7.0863,6.4,5.4,1.0,61.9
,80.03759,7.10981,3.2,2.2,1.0,60.9
,79.93956,7.10634,3.2,2.2,1.0,70.0
,80.0225,7.04949,3.2,2.2,1.0,59.0
,80.0022,7.06754,3.2,2.2,1.0,61.9
,79.99539,7.07296,3.2,2.2,1.0,62.9
,79.98248,7.07848,3.2,2.2,1.0,64.4
,79.9929,7.06847,3.2,2.2,1.0,62.9
,79.92464,7.07185,6.4,5.4,1.0,69.8
,79.9445,7.09584,3.2,2.2,1.0,69.0
,79.9638,7.07845,3.2,2.2,1.0,66.2
,79.97782,7.06536,3.2,2.2,1.0,64.2
,79.97698,7.06367,3.2,2.2,1.0,64.2
,79.977,7.06385,3.2,2.2,1.0,64.2
,80.00005,7.09072,3.2,2.2,1.0,63.3
,80.00013,7.09054,3.2,2.2,1.0,63.3
,80.00186,7.06655,3.2,2.2,1.0,61.9
,80.00167,7.06651,3.2,2.2,1.0,61.9
,80.00177,7.06649,3.2,2.2,1.0,61.9
,80.00167,7.06638,3.2,2.2,1.0,61.9
,79.93163,7.07247,6.4,5.4,1.0,69.2
,79.93143,7.07247,3.2,2.2,1.0,69.2
,79.97521,7.09071,3.2,2.2,1.0,65.8
,79.97505,7.09072,3.2,2.2,1.0,65.8
,80.00714,7.08121,3.2,2.2,1.0,62.2
,80.00697,7.08353,3.2,2.2,1.0,62.3
,80.04821,7.11403,3.2,2.2,1.0,60.2
,80.01404,7.09064,3.2,2.2,1.0,62.0
,80.04528,7.10571,6.4,5.4,1.0,59.9
Divinguma Bank,80.01051,7.0833,3.2,2.2,1.0,61.9
Post Office,80.01043,7.08344,3.2,2.2,1.0,62.0
,79.93073,7.10101,3.2,2.2,1.0,70.6
,79.89398,7.15848,3.2,2.2,1.0,77.2
,79.89402,7.15859,3.2,2.2,1.0,77.2
,80.00205,7.05741,3.2,2.2,1.0,61.4
,80.00199,7.05757,3.2,2.2,1.0,61.4
,80.04971,7.0954,3.2,2.2,1.0,58.9
,80.05091,7.0955,3.2,2.2,1.0,58.8
,79.96547,7.0564,3.2,2.2,1.0,65.0
,79.96533,7.05636,3.2,2.2,1.0,65.0
,79.96532,7.05649,3.2,2.2,1.0,65.0
,79.96542,7.05649,3.2,2.2,1.0,65.0
Lanka dewa sabhawa,79.89255,7.07196,3.2,2.2,1.0,73.1
,79.99677,7.05317,6.4,5.4,1.0,61.7
,79.99513,7.05248,3.2,2.2,1.0,61.9
,79.99534,7.05239,3.2,2.2,1.0,61.8
,79.99532,7.05181,3.2,2.2,1.0,61.8
,79.92156,7.0741,3.2,2.2,1.0,70.2
,79.91538,7.07431,3.2,2.2,1.0,70.9
,79.90979,7.15247,3.2,2.2,1.0,75.4
,80.03825,7.0853,6.4,5.4,1.0,59.4
,80.03652,7.08779,3.2,2.2,1.0,59.7
,80.0355,7.0894,6.4,5.4,1.0,59.9
,80.03635,7.0876,3.2,2.2,1.0,59.7
,80.03641,7.08782,3.2,2.2,1.0,59.7
,80.0342,7.08676,9.6,8.6,1.0,59.9
,80.03425,7.08612,3.2,2.2,1.0,59.8
,80.03418,7.08616,3.2,2.2,1.0,59.8
,80.03526,7.08933,6.4,5.4,1.0,59.9
,80.03189,7.08649,6.4,5.4,1.0,60.1
,80.03177,7.08675,6.4,5.4,1.0,60.1
,80.03263,7.08884,3.2,2.2,1.0,60.1
J-con Aluminium,80.03136,7.0873,3.2,2.2,1.0,60.2
,80.01618,7.08956,6.4,5.4,1.0,61.7
,80.0139,7.08671,6.4,5.4,1.0,61.8
,80.01487,7.08481,6.4,5.4,1.0,61.6
,80.01404,7.08667,6.4,5.4,1.0,61.8
,80.01369,7.08593,6.4,5.4,1.0,61.8
,80.04009,7.0769,6.4,5.4,1.0,58.7
,79.90363,7.14773,3.2,2.2,1.0,75.7
,79.90366,7.14766,3.2,2.2,1.0,75.7
,79.93265,7.08207,3.2,2.2,1.0,69.5
,79.93276,7.08222,3.2,2.2,1.0,69.5
,79.93269,7.082,3.2,2.2,1.0,69.5
,80.02061,7.0634,3.2,2.2,1.0,59.9
,79.93208,7.08958,3.2,2.2,1.0,69.9
,79.89901,7.14803,3.2,2.2,1.0,76.2
,79.89893,7.14803,3.2,2.2,1.0,76.2
,79.88936,7.1066,3.2,2.2,1.0,75.0
,80.02233,7.06588,3.2,2.2,1.0,59.9
,79.92964,7.08963,3.2,2.2,1.0,70.2
,79.93062,7.0876,6.4,5.4,1.0,70.0
,79.92938,7.08702,3.2,2.2,1.0,70.1
,79.92957,7.08697,3.2,2.2,1.0,70.1
,80.01547,7.07231,3.2,2.2,1.0,60.9
,80.01551,7.07212,3.2,2.2,1.0,60.9
,80.01634,7.06348,3.2,2.2,1.0,60.3
,80.03249,7.07839,6.4,5.4,1.0,59.6
,80.03306,7.07902,3.2,2.2,1.0,59.5
,80.03417,7.0767,3.2,2.2,1.0,59.3
,79.92121,7.08779,3.2,2.2,1.0,70.9
,79.92135,7.0878,3.2,2.2,1.0,70.9
,80.01897,7.08209,3.2,2.2,1.0,61.1
,80.01909,7.08193,3.2,2.2,1.0,61.0
,80.01453,7.0631,3.2,2.2,1.0,60.5
,80.02404,7.06975,3.2,2.2,1.0,59.9
,80.01462,7.06306,3.2,2.2,1.0,60.5
,80.04713,7.09317,3.2,2.2,1.0,59.0
,80.04834,7.09347,3.2,2.2,1.0,58.9
,80.04702,7.09308,3.2,2.2,1.0,59.0
,79.91561,7.08001,3.2,2.2,1.0,71.1
,80.05401,7.09088,3.2,2.2,1.0,58.2
,80.00213,7.04666,3.2,2.2,1.0,60.9
,80.00097,7.0492,3.2,2.2,1.0,61.1
,79.99601,7.04377,3.2,2.2,1.0,61.4
,80.02368,7.02673,3.2,2.2,1.0,57.8
,80.02382,7.02672,3.2,2.2,1.0,57.8
