name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Wijayabahukanda,village,80.63256,7.01086,26.7,213.5,528.0,never,,,
Sinhalagoda,village,80.29246,6.6834,26.8,58.7,244.9,never,,,
Greenwood,village,80.55335,7.04581,26.8,192.9,206.1,never,,,
Udawela,village,80.63872,6.61027,26.9,325.1,898.4,never,,,
Horaketiya,village,80.66149,6.62706,27.0,318.4,1107.5,never,,,
Manandola,village,80.5268,6.56609,27.1,353.6,244.2,never,,,
Passaramulla,village,80.72571,6.71617,27.1,292.4,935.6,never,,,
Batangala,village,80.27504,6.9132,27.3,114.9,185.3,never,,,
Ihalagalagama,village,80.73634,6.73948,27.3,286.5,820.1,never,,,
Bulugahapitiya,village,80.2546,6.84632,27.4,98.6,-3.3,ground level,4.4,28 Feb,13 Oct
Nawalapitiya,town,80.53501,7.05589,27.5,188.2,1.0,ground level,3.223,,
Naluwala,village,80.71225,6.68071,27.5,301.2,577.9,never,,,
Ihala Karawita,village,80.42932,6.57098,27.5,16.4,145.7,<=150 m (50 storeys),,,
Madabaddara,village,80.27174,6.70875,27.5,66.2,59.5,<=60 m (20 storeys),,,
,village,80.6086,7.03253,27.5,206.1,214.3,never,,,
Maldeniya,village,80.28381,6.93492,27.6,120.3,61.8,<=100 m (33 storeys),,,
Kirimetiya,village,80.72639,6.9168,27.7,244.7,309.9,never,,,
Nawathispane,village,80.60203,7.03764,27.7,204.2,301.4,never,,,
Fernlands State,village,80.65649,7.00551,27.8,218.7,165.1,never,,,
Dayagama,village,80.74777,6.85612,27.9,259.4,351.3,never,,,
Doloswalakanda,village,80.46427,6.55988,27.9,8.1,-4.2,ground level,3.779,,
Yainna,village,80.57581,6.56807,28.0,342.5,6.2,<=10 m (3 storeys),,,
Ayagama,town,80.31166,6.63855,28.1,47.7,342.1,never,,,
Nammiminiya Waththa,village,80.25805,6.72899,28.1,71.6,39.5,<=60 m (20 storeys),,14 May,29 Jul
Gonagamuwa,village,80.36612,7.02677,28.2,148.5,-10.0,ground level,3.429,,
Rangegama,village,80.26066,6.89933,28.2,110.7,-0.3,ground level,4.245,21 Jan,21 Nov
Nedurana,village,80.24445,6.81931,28.2,92.3,34.5,<=60 m (20 storeys),,16 Mar,27 Sep
Balangoda,town,80.69857,6.65014,28.2,308.7,583.4,never,,,
Amuwathugoda,village,80.7308,6.70009,28.3,295.3,1102.0,never,,,
Hapugastalawa,village,80.57271,7.05565,28.4,196.6,56.2,<=60 m (20 storeys),,,
Yogama,village,80.2729,6.93019,28.4,118.1,125.9,<=150 m (50 storeys),,,
Pahala Yogama,village,80.26673,6.91898,28.4,115.3,13.0,<=30 m (10 storeys),,,
Radella,village,80.72314,6.93812,28.5,240.1,62.4,<=100 m (33 storeys),,,
Ellepola,village,80.68598,6.63177,28.5,313.6,424.6,never,,,
Rathmalvinna,village,80.72126,6.67413,28.7,301.4,567.3,never,,,
Harangala,village,80.59038,7.05223,28.7,200.5,128.5,<=150 m (50 storeys),,,
Gawarahena,village,80.67079,6.61394,28.7,318.8,673.8,never,,,
Paleegala,village,80.23922,6.83815,28.9,96.3,11.3,<=30 m (10 storeys),,05 Mar,08 Oct
Olugantota,village,80.71371,6.6578,29.0,305.3,553.3,never,,,
Paragala,village,80.34232,6.5989,29.0,36.8,500.8,never,,,
Batangala,village,80.25632,6.91061,29.1,112.7,-10.9,ground level,3.984,10 Jan,02 Dec
Epitawala,village,80.24485,6.74159,29.1,75.1,36.1,<=60 m (20 storeys),,01 May,11 Aug
Gorokoya,village,80.55342,7.06658,29.1,191.9,64.5,<=100 m (33 storeys),,,
Nawatha,village,80.32051,7.00395,29.2,137.5,140.4,<=150 m (50 storeys),,,
Pundaluoya,town,80.66679,7.01378,29.2,219.3,381.4,never,,,
Epitawala,village,80.24258,6.74301,29.3,75.5,20.7,<=30 m (10 storeys),,30 Apr,12 Aug
Elgin,village,80.75149,6.8919,29.3,251.9,244.5,never,,,
Glasel Estate,village,80.26315,6.93085,29.4,117.3,56.9,<=60 m (20 storeys),,,
Algoda,village,80.27448,6.95305,29.5,122.6,16.7,<=30 m (10 storeys),,,
Kahanavita,village,80.28334,6.96672,29.5,126.1,51.9,<=60 m (20 storeys),,,
Rogersangama,village,80.63199,7.04149,29.5,209.7,365.4,never,,,
Amupitiya,village,80.73322,6.68069,29.5,298.9,994.6,never,,,
Warakawa,village,80.54062,7.07423,29.6,188.9,-4.5,ground level,3.008,,
Sea Fourth,village,80.42935,7.06776,29.6,164.9,157.3,never,,,
Welange,village,80.68863,6.6205,29.6,315.0,178.7,never,,,
Nugawela,village,80.58413,7.06484,29.8,198.4,335.3,never,,,
Pimbura,village,80.35456,6.58172,29.8,32.5,489.3,never,,,
Muruththettuwa,village,80.26811,6.95092,30.0,121.5,21.8,<=30 m (10 storeys),,,
Kumbaloluwa,village,80.65762,7.03072,30.1,215.6,99.7,<=100 m (33 storeys),,,
Pebotuwa,village,80.45194,6.5408,30.2,10.1,145.7,<=150 m (50 storeys),,,
Dolosbage,town,80.4701,7.08173,30.3,173.9,266.9,never,,,
Iddamalgoda,village,80.22747,6.85315,30.4,99.2,97.0,<=100 m (33 storeys),,26 Feb,15 Oct
Perakumpura,village,80.75213,6.91797,30.4,246.8,-5.8,ground level,0.87,,
Paragala,village,80.50349,7.085,30.5,180.9,526.4,never,,,
Ihala Maniyamgama,village,80.25161,6.93367,30.6,116.7,145.4,<=150 m (50 storeys),,,
