name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Rathmale,village,80.89884,8.09508,148.8,197.2,1510.4,never,,,
Ihala Puliyankulama,village,80.56861,8.15356,148.8,183.0,22.6,<=30 m (10 storeys),,,
Palaviya,village,79.83382,7.98099,148.9,150.5,1.3,ground level,0.258,,
Walagambahuwa,village,80.50446,8.15698,149.0,180.2,26.6,<=30 m (10 storeys),,,
Malwatte,village,81.74335,7.33262,149.1,247.1,2693.2,never,,,
Musalpitiya,village,80.28989,8.14147,149.1,171.1,3.3,<=10 m (3 storeys),,,
Yoda Ela,village,80.96148,8.07783,149.2,200.0,1777.4,never,,,
Periyakulama,village,80.54034,8.15822,149.2,181.8,185.0,never,,,
Issanganichemai,village,81.79,7.21057,149.3,252.7,2179.1,never,,,
Pothanegama,village,80.17425,8.11989,149.3,166.1,10.1,<=30 m (10 storeys),,,
Aalamkulam,village,81.78304,7.23353,149.4,251.7,2612.8,never,,,
Ulkatupotha,village,80.99207,8.06777,149.4,201.3,2249.3,never,,,
Majeed Puram,village,81.74238,7.34939,149.7,246.5,2801.8,never,,,
,village,81.62645,7.56183,149.7,236.2,4318.3,never,,,
Thandiyadi,village,81.83455,7.06056,150.1,259.3,2778.5,never,,,
Madawala,village,80.74637,8.14387,150.1,190.5,11.6,<=30 m (10 storeys),,,
Karuwalagaswewa,town,79.96092,8.05713,150.2,156.8,8.0,<=10 m (3 storeys),,,
Deeghavapiya,village,81.77603,7.27645,150.2,249.8,3041.4,never,,,
Welikanda,town,81.24756,7.94721,150.5,213.3,1542.1,never,,,
Pulasthigama,village,81.07817,8.04198,150.5,205.1,1764.1,never,,,
,village,81.39019,7.83998,150.5,220.8,2776.2,never,,,
Saliya Ashokapura,village,80.18847,8.13612,150.7,166.9,13.1,<=30 m (10 storeys),,,
Rathmalyaya,village,79.83792,8.00105,150.7,151.1,6.2,<=10 m (3 storeys),,,
Mahadiulwewa,village,80.70949,8.15579,150.7,188.9,812.6,never,,,
Labunoruwa,village,80.61174,8.16765,150.7,184.7,378.3,never,,,
Naina kadu,village,81.77356,7.3012,150.9,248.8,3084.3,never,,,
Thillaiyadi,village,79.83849,8.0051,151.0,151.2,12.9,<=30 m (10 storeys),,,
Thambuttegama,town,80.3001,8.1613,151.1,171.7,7.3,<=10 m (3 storeys),,,
Kudinilam,village,81.83023,7.12754,151.2,256.5,2281.3,never,,,
Karadiyanaru,village,81.53717,7.70244,151.3,229.2,3329.8,never,,,
Danyawa,village,80.94087,8.10444,151.3,198.8,1745.5,never,,,
Kumbukwewa,village,80.08327,8.11441,151.4,162.4,0.3,ground level,0.208,,
Kaudulla,village,80.99325,8.0876,151.5,201.1,2204.7,never,,,
,village,81.47906,7.76877,151.5,225.5,2560.2,never,,,
Manakkulama,village,80.55886,8.1801,151.7,182.5,56.5,<=60 m (20 storeys),,,
3rd Mile Post,village,81.81225,7.21801,151.9,252.7,2212.9,never,,,
Galoya,village,80.86524,8.13582,152.1,195.4,1171.7,never,,,
Moragoda,village,80.66799,8.17584,152.2,187.0,833.2,never,,,
Chenaikudirippu,village,79.84996,8.02575,152.4,152.0,16.9,<=30 m (10 storeys),,,
,village,81.4093,7.84581,152.4,221.2,3073.0,never,,,
Galamuna,village,81.02928,8.08356,152.5,202.5,2014.6,never,,,
Divulankadawala,village,80.95233,8.11294,152.6,199.1,1772.4,never,,,
Sandanamkulama,village,80.60583,8.18512,152.6,184.4,48.1,<=60 m (20 storeys),,,
Rajanganaya,suburb,80.21735,8.16251,152.8,168.3,32.9,<=60 m (20 storeys),,,
Pahariya,village,80.01933,8.10777,153.0,159.8,4.0,<=10 m (3 storeys),,,
Thirukkovil,village,81.8517,7.11554,153.2,257.2,2201.9,never,,,
Kattanurichchana,village,80.58302,8.19197,153.2,183.5,11.5,<=30 m (10 storeys),,,
Illipaiyadichchenai,village,81.54589,7.72101,153.3,228.9,3229.3,never,,,
Thambiluvil,village,81.84853,7.13161,153.3,256.5,2290.9,never,,,
Viharagama,village,80.94237,8.12494,153.5,198.6,1687.1,never,,,
Perakumpura,village,80.14422,8.15269,153.6,165.3,3.4,<=10 m (3 storeys),,,
Ashraff Nagar,village,81.80668,7.28393,153.7,250.0,2868.4,never,,,
Veerachcholai,village,81.76923,7.37923,153.8,245.8,2884.4,never,,,
Muhammadiya Puram,town,81.82798,7.22437,153.8,252.6,2202.8,never,,,
Maha Kirimetiya,village,81.02371,8.09767,153.8,202.1,2246.5,never,,,
Sungavila,village,81.08887,8.07102,153.9,205.0,1801.3,never,,,
Puttalam,city,79.82865,8.03025,154.0,151.3,2.3,<=10 m (3 storeys),,,
Malkampiddy,village,81.8001,7.32039,154.4,248.5,3052.7,never,,,
Malwanegama,village,80.32792,8.19468,154.4,173.0,6.0,<=10 m (3 storeys),,,
,village,81.43529,7.84958,154.6,221.9,2983.1,never,,,
Ottappuwa,village,80.26138,8.19199,155.1,170.3,0.6,ground level,0.172,,
Meewellewa,village,80.58981,8.20878,155.1,183.7,1.7,ground level,0.157,,
Angamuwa,village,80.20471,8.18281,155.3,168.0,2.2,<=10 m (3 storeys),,,
Manankattiya,village,80.65714,8.20542,155.3,186.5,350.3,never,,,
Selesthimaduwa,village,80.45886,8.21332,155.3,178.4,10.6,<=30 m (10 storeys),,,
Thirappane,village,80.52298,8.21572,155.5,181.0,12.3,<=30 m (10 storeys),,,
Ethungama,village,80.55473,8.21494,155.5,182.3,220.8,never,,,
,village,81.47119,7.8278,155.5,223.6,2519.7,never,,,
Akkaraipattu,town,81.84825,7.21406,155.6,253.2,2262.1,never,,,
Sammanturai,town,81.79626,7.35795,155.6,247.0,2791.1,never,,,
Mullaitheevu,village,81.83754,7.24824,155.6,251.8,2630.6,never,,,
Maha Rambewa,village,80.75635,8.19814,156.2,190.5,12.7,<=30 m (10 storeys),,,
Medirigiriya,town,80.97134,8.14233,156.3,199.5,1604.5,never,,,
Sorikkalmunai,village,81.79153,7.3925,156.6,245.6,2884.1,never,,,
Bisobandaragama,village,80.95003,8.1523,156.6,198.5,1641.4,never,,,
Yakalla,village,80.70057,8.21205,156.7,188.2,395.2,never,,,
,village,81.44154,7.87382,157.1,221.4,3101.2,never,,,
Addalaichchenai,village,81.85434,7.25077,157.4,251.9,2615.7,never,,,
Thuruwila,village,80.43335,8.23082,157.4,177.4,2.0,<=10 m (3 storeys),,,
Diyasenpura,village,81.02394,8.13385,157.5,201.6,2002.9,never,,,
5 Canal,village,80.99852,8.14466,157.6,200.5,2198.5,never,,,
Norochcholai,village,79.73571,8.01474,157.7,147.8,-0.3,ground level,0.177,,
Ihala Puliyankulama,village,80.03895,8.16433,158.2,161.3,10.6,<=30 m (10 storeys),,,
Talawa,village,80.35064,8.2367,158.7,174.1,336.9,never,,,
Mavadippalli,village,81.82209,7.37169,158.8,246.9,2869.0,never,,,
Wijayapura,village,81.04598,8.1376,158.8,202.3,2316.1,never,,,
,village,81.4653,7.87348,158.8,222.2,3148.5,never,,,
,town,81.66295,7.6567,159.0,233.9,4416.6,never,,,
Paddippalai,village,81.70485,7.59879,159.2,236.7,4405.2,never,,,
Saliyawewa,town,80.09127,8.19067,159.2,163.6,9.0,<=10 m (3 storeys),,,
Oluvil,village,81.85818,7.29057,159.3,250.4,2990.6,never,,,
Kohombadamana,village,81.01808,8.15346,159.3,201.1,2283.2,never,,,
Addappalam,village,81.84739,7.32695,159.5,248.9,3236.5,never,,,
SiwalaaKulama,village,80.62935,8.2472,159.6,185.2,706.1,never,,,
Nachchadoowa,village,80.46306,8.25189,159.6,178.6,13.1,<=30 m (10 storeys),,,
Kaluwila,village,80.42501,8.25162,159.7,177.1,7.8,<=10 m (3 storeys),,,
Padikaramaduwa,village,80.74525,8.23311,159.8,189.8,65.4,<=100 m (33 storeys),,,
Karaitivu,town,81.83879,7.37695,160.7,247.0,2897.3,never,,,
Kala Oya,village,80.10795,8.20991,160.8,164.5,130.5,<=150 m (50 storeys),,,
Kalmunai,town,81.82693,7.41316,161.1,245.5,2926.8,never,,,
Kurumunveli,village,81.77981,7.50758,161.1,241.3,3040.2,never,,,
Huruluwewa Left,village,80.70949,8.25077,161.1,188.3,408.4,never,,,
Periyaneelavanai,village,81.81229,7.4457,161.2,244.1,2918.1,never,,,
Koyyawadi,village,79.73586,8.05409,161.4,148.6,0.3,ground level,0.144,,
Wembuwewa,village,80.66682,8.25957,161.4,186.6,539.6,never,,,
Chenkaladi,town,81.59128,7.78543,161.8,228.1,3155.8,never,,,
Periyakallar,village,81.8078,7.46794,161.8,243.2,3010.4,never,,,
Pahala Puliyankulama,village,80.02257,8.19424,161.9,161.1,11.6,<=30 m (10 storeys),,,
Galkulama,village,80.4998,8.27516,162.1,180.1,73.6,<=100 m (33 storeys),,,
Eravur,town,81.6048,7.77572,162.2,228.8,3295.4,never,,,
Kaluwanchikudy,town,81.78713,7.5175,162.4,241.1,3050.9,never,,,
Maragahawewa,village,80.14602,8.24398,163.4,166.2,11.1,<=30 m (10 storeys),,,
Nikawewa,village,80.76015,8.26407,163.4,190.2,316.2,never,,,
Mawathwewa,village,80.63285,8.28174,163.5,185.2,718.6,never,,,
Nochchiyagama,town,80.21051,8.26401,164.0,168.8,134.0,<=150 m (50 storeys),,,
Ambagaswewa,village,81.03696,8.19883,164.7,201.1,2376.0,never,,,
Jayathugama,village,81.02726,8.20448,164.9,200.7,2404.5,never,,,
Wannikulama,village,80.41614,8.29862,164.9,176.8,2.9,<=10 m (3 storeys),,,
Cheddipalaiyam,village,81.78482,7.57197,165.1,239.2,3659.0,never,,,
Sinharagama,village,80.2552,8.28425,165.3,170.7,20.8,<=30 m (10 storeys),,,
Sravasthipura,village,80.37514,8.29914,165.3,175.3,45.1,<=60 m (20 storeys),,,
Galenbindunuwewa,town,80.71897,8.29245,165.8,188.4,395.1,never,,,
Pahala Halmillewa,village,80.61775,8.30458,165.9,184.5,8.3,<=10 m (3 storeys),,,
Meeravodai,suburb,81.52482,7.90791,166.0,222.9,2663.4,never,,,
Horuvila,village,80.14765,8.27066,166.2,166.6,-0.2,ground level,0.082,,
Thammannekulama,village,80.42887,8.31281,166.4,177.4,4.5,<=10 m (3 storeys),,,
Oddamavadi,suburb,81.52111,7.91583,166.4,222.6,2692.8,never,,,
Kattankudy,suburb,81.72897,7.68049,166.5,234.6,4905.1,never,,,
Valaichchenai,town,81.53312,7.90908,166.8,223.1,2646.5,never,,,
Batticaloa,city,81.6942,7.7356,167.0,232.1,4307.7,never,,,
Meegaswewa,village,81.08482,8.2018,167.0,202.8,2134.9,never,,,
Getalewa,village,80.75267,8.30227,167.4,189.6,168.9,never,,,
Kalattewa,village,80.46289,8.32521,167.7,178.7,24.7,<=30 m (10 storeys),,,
Katukeliyawa,village,80.62521,8.32195,167.8,184.8,449.0,never,,,
Kurunnankulama,village,80.72361,8.31176,168.0,188.5,528.4,never,,,
Migollewa,village,81.05559,8.22384,168.0,201.4,2445.3,never,,,
Pothanegama,village,80.36835,8.3257,168.3,175.1,15.8,<=30 m (10 storeys),,,
Ihalagama,village,80.58379,8.33278,168.7,183.2,73.0,<=100 m (33 storeys),,,
Anuradhapura,city,80.41061,8.33498,169.0,176.7,13.2,<=30 m (10 storeys),,,
Pasikudah Bay,village,81.53494,7.93599,169.1,222.5,2846.4,never,,,
Kalkudah,village,81.56036,7.91566,169.4,223.7,2806.4,never,,,
Hunuwilagama,village,80.14839,8.30417,169.8,166.9,-0.4,ground level,0.049,,
Dewanampiyatissapura,village,80.37627,8.34309,170.1,175.5,5.6,<=10 m (3 storeys),,,
Pasikudah,village,81.56508,7.92245,170.3,223.7,2752.6,never,,,
Viharapalugama,village,80.34101,8.342,170.4,174.2,296.5,never,,,
Kurukundalama,village,80.45463,8.35463,170.9,178.4,13.3,<=30 m (10 storeys),,,
Kannattiya,village,80.47792,8.35521,171.0,179.2,0.3,ground level,0.029,,
Wadigawewa,village,81.09628,8.23735,171.1,202.6,2220.9,never,,,
Mihintale,town,80.51216,8.3583,171.3,180.5,164.4,never,,,
Dutuwewa,village,80.76359,8.33813,171.5,189.8,86.0,<=100 m (33 storeys),,,
Asokapura,village,80.47799,8.37417,173.1,179.3,5.0,<=10 m (3 storeys),,,
Thammannewa,village,80.59979,8.37454,173.4,183.7,9.1,<=10 m (3 storeys),,,
Karaitivu,village,79.80803,8.22281,173.9,154.1,13.9,<=30 m (10 storeys),,,
Seeppukulama,village,80.58769,8.38041,174.0,183.2,82.8,<=100 m (33 storeys),,,
Mahamankadawala,village,80.29547,8.37311,174.4,172.6,18.1,<=30 m (10 storeys),,,
Mahalindawewa,village,80.26407,8.37232,174.8,171.5,41.5,<=60 m (20 storeys),,,
Ranorawa,village,80.23849,8.36972,174.9,170.6,18.3,<=30 m (10 storeys),,,
Ittikulama,village,80.19336,8.3682,175.7,169.0,28.6,<=30 m (10 storeys),,,
Kukulkatuwa,village,80.15978,8.37079,176.7,167.8,22.4,<=30 m (10 storeys),,,
Kandakuli,village,79.72626,8.21419,177.2,151.3,4.8,<=10 m (3 storeys),,,
Kalpitiya,village,79.76615,8.23681,177.4,152.9,0.9,ground level,0.012,,
Agbopura,village,80.98188,8.34178,177.6,197.4,1501.2,never,,,
Kantale,village,80.98303,8.35146,178.7,197.4,1662.9,never,,,
Potankadu,village,81.00837,8.34761,179.1,198.3,1596.7,never,,,
Koonwewa,suburb,80.74926,8.41009,179.1,188.9,983.5,never,,,
Vakarai,village,81.436,8.13338,179.2,215.2,2472.6,never,,,
Kahatagasdigiliya,town,80.68817,8.42648,180.0,186.7,737.3,never,,,
Dunumadalawa,village,80.21103,8.41183,180.0,169.9,29.2,<=30 m (10 storeys),,,
Kadurupitiya,village,80.17738,8.40742,180.3,168.7,87.6,<=100 m (33 storeys),,,
Rambewa,town,80.50657,8.44153,180.5,180.3,65.8,<=100 m (33 storeys),,,
Puwarasankulama,village,80.39859,8.43846,180.5,176.5,30.8,<=60 m (20 storeys),,,
Kantale,town,81.00284,8.367,181.0,197.9,1657.4,never,,,
Parasangaswewa,village,80.43112,8.44852,181.4,177.7,10.3,<=30 m (10 storeys),,,
Helambawewa,village,80.20428,8.4233,181.4,169.7,32.2,<=60 m (20 storeys),,,
Oyamaduwa,village,80.26097,8.43471,181.6,171.7,49.8,<=60 m (20 storeys),,,
Ikirigollewa,village,80.5168,8.46821,183.4,180.6,151.8,never,,,
Gambirigaswewa,village,80.38322,8.47586,184.7,176.1,189.2,never,,,
Wendrasanpura,village,81.0223,8.3988,185.0,198.2,1722.3,never,,,
Somapura,village,81.27632,8.29278,185.1,207.6,2633.2,never,,,
,village,81.14607,8.35553,185.3,202.6,2438.9,never,,,
Halmillewa,village,80.73829,8.47113,185.6,188.2,499.6,never,,,
Wahamalgollewa,village,80.50086,8.49249,186.1,180.1,116.0,<=150 m (50 storeys),,,
Kiralapetiyawa,village,80.17744,8.4658,186.6,169.1,47.4,<=60 m (20 storeys),,,
Thuppitiyawa,village,80.26519,8.49282,187.9,172.1,22.6,<=30 m (10 storeys),,,
,village,81.25939,8.33324,188.2,206.4,1995.0,never,,,
Kuda Wilachchiya,village,80.15215,8.47634,188.3,168.3,54.1,<=60 m (20 storeys),,,
,village,81.26101,8.33638,188.6,206.4,2000.6,never,,,
Pemaduwa,town,80.20086,8.49188,188.9,170.0,53.1,<=60 m (20 storeys),,,
,village,81.24489,8.34879,189.1,205.8,2120.6,never,,,
,village,81.2612,8.34082,189.1,206.4,1993.1,never,,,
Maha Wilachchiya,village,80.157,8.48897,189.5,168.6,133.1,<=150 m (50 storeys),,,
,village,81.25051,8.35062,189.5,205.9,2146.7,never,,,
Serunuwara,town,81.30063,8.32569,189.6,207.8,2807.0,never,,,
,village,81.25284,8.35216,189.8,206.0,2145.2,never,,,
,village,81.2525,8.35398,189.9,205.9,2149.5,never,,,
,village,81.25535,8.35384,190.1,206.0,30000.0,never,,,
,village,81.2543,8.35608,190.2,206.0,30000.0,never,,,
Kirigalwewa,village,80.56405,8.53532,191.0,182.2,30000.0,never,,,
Medawachchiya,town,80.493,8.53878,191.2,179.8,30000.0,never,,,
Sandamal Eliya,village,80.24367,8.52262,191.5,171.6,30000.0,never,,,
Rathmalgahawewa,village,80.67654,8.53231,191.5,185.9,30000.0,never,,,
Mannaram Handiya,village,80.15466,8.51251,192.1,168.6,30000.0,never,,,
Mollipothana,village,81.06327,8.4551,192.3,198.9,30000.0,never,,,
,village,81.29022,8.3717,193.5,206.8,30000.0,never,,,
Angunachchiya,village,80.76784,8.54292,194.0,188.8,30000.0,never,,,
Nelumwila,village,80.25586,8.54808,194.1,172.1,30000.0,never,,,
Gallellagama,village,80.57849,8.56723,194.6,182.6,30000.0,never,,,
98 Junction - Galmetiyawa,village,81.08063,8.47802,195.3,199.2,30000.0,never,,,
Kidagalegama,village,80.55755,8.57657,195.5,181.9,30000.0,never,,,
Siraj Nagar,village,81.08376,8.48164,195.8,199.2,30000.0,never,,,
Horowpotana,town,80.83213,8.54967,195.9,190.8,30000.0,never,,,
,village,81.15705,8.45589,196.0,201.7,30000.0,never,,,
Pachchanur,village,81.2658,8.41094,196.3,205.5,30000.0,never,,,
Thanthirimale,village,80.25278,8.57206,196.8,172.1,30000.0,never,,,
,village,81.14681,8.47024,197.1,201.2,30000.0,never,,,
Nikawewa,village,80.74799,8.57566,197.2,188.0,30000.0,never,,,
,village,81.16638,8.46356,197.2,201.9,30000.0,never,,,
Aanaivilunthan,village,80.31833,8.58697,197.6,174.2,30000.0,never,,,
,village,81.16113,8.46962,197.6,201.7,30000.0,never,,,
Thoppur,village,81.31234,8.40434,197.9,206.9,30000.0,never,,,
Thambalagamuwa,village,81.09458,8.5003,198.2,199.3,30000.0,never,,,
Puthukudiyyiruppu,village,81.29999,8.4193,198.7,206.4,30000.0,never,,,
Etaweeragollewa,village,80.5318,8.60749,198.9,181.1,30000.0,never,,,
Maccanagar,village,80.32664,8.60077,199.0,174.6,30000.0,never,,,
Punewa,village,80.47054,8.61183,199.3,179.1,30000.0,never,,,
Hirallugama,village,80.60072,8.60852,199.3,183.2,30000.0,never,,,
,village,81.19423,8.47455,199.5,202.6,30000.0,never,,,
,village,81.19734,8.47464,199.6,202.7,30000.0,never,,,
Sinnasippikulam,village,80.32895,8.6085,199.8,174.6,30000.0,never,,,
,village,81.26715,8.44585,199.8,205.1,30000.0,never,,,
Ethakada,village,80.56725,8.6163,200.0,182.2,30000.0,never,,,
,village,81.27092,8.4467,200.1,205.2,30000.0,never,,,
,village,81.27078,8.44748,200.1,205.1,30000.0,never,,,
,village,81.26679,8.45007,200.2,205.0,30000.0,never,,,
Neriyakulam,town,80.35411,8.6162,200.4,175.5,30000.0,never,,,
Mutur,village,81.2667,8.45797,201.0,204.9,30000.0,never,,,
Tamaraivillu,village,81.19167,8.4915,201.1,202.3,30000.0,never,,,
Iththikkulam,village,81.322,8.43775,201.6,206.7,30000.0,never,,,
Kinniya,village,81.19122,8.50165,202.1,202.2,30000.0,never,,,
Rotawewa,village,80.91498,8.59538,202.7,193.1,30000.0,never,,,
,village,81.2917,8.46407,202.8,205.5,30000.0,never,,,
Kebitigollewa,town,80.66983,8.64084,203.4,185.3,30000.0,never,,,
Baththalangunduwa,village,79.78343,8.50446,203.4,157.2,30000.0,never,,,
Cheddikulam,village,80.31288,8.66004,205.7,174.3,30000.0,never,,,
,town,81.19057,8.53959,206.0,201.7,30000.0,never,,,
Katkulam,village,80.53968,8.68083,207.0,181.3,30000.0,never,,,
Shraddhapura - China Bay,village,81.15826,8.56356,207.1,200.5,30000.0,never,,,
Periyakoomarasankulam,village,80.51542,8.69051,208.0,180.5,30000.0,never,,,
Periyakoomanarasankulam Housing Scheme,village,80.51911,8.69009,208.0,180.6,30000.0,never,,,
Kalveerankulam,village,80.51299,8.69126,208.1,180.4,30000.0,never,,,
Kapugollewa,village,80.84256,8.66396,208.5,190.5,30000.0,never,,,
Vepankulam,village,80.51061,8.69579,208.6,180.4,30000.0,never,,,
Pankulam,village,81.03194,8.6241,209.1,196.3,30000.0,never,,,
Avusadapitiya,village,80.46374,8.69991,209.1,179.0,30000.0,never,,,
Sanmugapuram,village,80.33826,8.69406,209.2,175.2,30000.0,never,,,
Muruganoor,village,80.51253,8.704,209.5,180.4,30000.0,never,,,
Kambakkoddai,village,80.99974,8.64001,209.8,195.3,30000.0,never,,,
Kanthasamy Nagar,village,80.33974,8.69957,209.8,175.2,30000.0,never,,,
Irataiperiyakulama,village,80.48288,8.70843,210.0,179.5,30000.0,never,,,
Ellaparmaruthankulam Housing Scheme,village,80.51941,8.71532,210.8,180.6,30000.0,never,,,
Thaddankulam,village,80.34268,8.70886,210.8,175.3,30000.0,never,,,
Samalankulam,village,80.51299,8.7183,211.1,180.4,30000.0,never,,,
Ellaparmaruthankulam,village,80.51621,8.71948,211.2,180.5,30000.0,never,,,
Sinhapura,village,81.19557,8.58842,211.2,201.3,30000.0,never,,,
Linganagar,village,81.21588,8.58327,211.5,201.9,30000.0,never,,,
Trincomalee,city,81.2345,8.57643,211.6,202.5,30000.0,never,,,
Abhayapura,village,81.21439,8.58741,211.8,201.8,30000.0,never,,,
Gomarankadawala,town,80.9562,8.67456,212.3,193.7,30000.0,never,,,
Kanthapuram Housing Scheme,village,80.47201,8.73329,212.8,179.2,30000.0,never,,,
Andiyapuliyankulam,village,80.26304,8.72042,212.9,173.0,30000.0,never,,,
Thavasikulam,village,80.47947,8.7353,213.0,179.4,30000.0,never,,,
Kanniya,village,81.16712,8.6184,213.2,200.2,30000.0,never,,,
Uppuveli,village,81.21784,8.60052,213.3,201.8,30000.0,never,,,
Thetillupaikkulam,village,80.51942,8.74139,213.7,180.6,30000.0,never,,,
Kovilkulam,village,80.50792,8.7433,213.9,180.3,30000.0,never,,,
Kovilputhuthukkulam,village,80.51095,8.74556,214.1,180.4,30000.0,never,,,
Koomankulam,village,80.46267,8.74787,214.4,179.0,30000.0,never,,,
Alles Garden,village,81.2154,8.61238,214.4,201.6,30000.0,never,,,
Velikkulam,village,80.51642,8.7485,214.4,180.5,30000.0,never,,,
Sinnaputhukkulam,village,80.51223,8.74957,214.6,180.4,30000.0,never,,,
Sahayamathapuram,village,80.5023,8.75041,214.6,180.1,30000.0,never,,,
Rambaikulam,village,80.50355,8.75069,214.7,180.2,30000.0,never,,,
Vavuniya,city,80.50008,8.75935,215.6,180.1,30000.0,never,,,
Thaandikulam,village,80.48336,8.77357,217.2,179.6,30000.0,never,,,
Piramanankulam,village,80.28658,8.76345,217.4,173.9,30000.0,never,,,
Periyarkulam,village,80.49953,8.77689,217.6,180.0,30000.0,never,,,
Herathhalmillewa,village,80.79358,8.76145,218.3,188.6,30000.0,never,,,
Etambagaskada,village,80.53203,8.78298,218.3,181.0,30000.0,never,,,
Wahalkada,village,80.86702,8.75544,219.0,190.7,30000.0,never,,,
Pampaimadu,village,80.42139,8.78895,219.1,177.8,30000.0,never,,,
Mahakachchikodiya,village,80.57992,8.79122,219.3,182.4,30000.0,never,,,
Manipuram Housing Scheme,village,80.44192,8.79712,219.9,178.4,30000.0,never,,,
Sinnathambanai,village,80.29968,8.78993,220.1,174.3,30000.0,never,,,
Manipuram,village,80.43315,8.79968,220.2,178.1,30000.0,never,,,
Veemakallu,village,80.54474,8.80175,220.4,181.3,30000.0,never,,,
Kokupadaiyan,village,79.96648,8.73133,220.5,164.6,30000.0,never,,,
Madu Road,village,80.15732,8.77384,220.5,170.2,30000.0,never,,,
Nilaveli,village,81.19161,8.68154,220.7,200.2,30000.0,never,,,
Suntharapuram Housing Scheme,village,80.44042,8.80528,220.8,178.4,30000.0,never,,,
Sutharapuram,village,80.44837,8.805,220.8,178.6,30000.0,never,,,
Periya Thampanai,village,80.26103,8.79617,221.3,173.2,30000.0,never,,,
Mamaduwa,village,80.53919,8.81086,221.4,181.2,30000.0,never,,,
Saasthirikoolankulam,village,80.45977,8.81082,221.4,178.9,30000.0,never,,,
Thevarkulam,village,80.46183,8.81456,221.8,179.0,30000.0,never,,,
Kidachuri,village,80.39958,8.81954,222.6,177.2,30000.0,never,,,
Silwatturai,village,79.95082,8.74787,222.7,164.3,30000.0,never,,,
Kaddaiyarkulam,village,80.44976,8.8242,222.9,178.6,30000.0,never,,,
Nochchimoddai,village,80.49094,8.82889,223.3,179.8,30000.0,never,,,
Maravankulam,village,80.40429,8.83,223.7,177.4,30000.0,never,,,
Easwaripuram,village,80.40161,8.83234,224.0,177.3,30000.0,never,,,
Kovilpuliyankulam,village,80.35231,8.82953,224.0,175.9,30000.0,never,,,
Thavasiyakulam,village,80.41726,8.83428,224.1,177.7,30000.0,never,,,
Irakkandi,village,81.17354,8.72493,224.5,199.3,30000.0,never,,,
Mullaikulam,village,80.40327,8.84096,224.9,177.3,30000.0,never,,,
Kalmadu,village,80.3925,8.84291,225.2,177.0,30000.0,never,,,
Naambankulam,village,80.53377,8.84625,225.3,181.0,30000.0,never,,,
Padaviya,town,80.77097,8.83395,225.9,187.6,30000.0,never,,,
Periya Pandivirichan,village,80.23163,8.83461,225.9,172.5,30000.0,never,,,
Karaiya Alampaikulam,village,80.40264,8.85133,226.1,177.3,30000.0,never,,,
Ilamaruthankulam,village,80.58012,8.85345,226.2,182.3,30000.0,never,,,
Kalvelikulam,village,80.37725,8.85086,226.2,176.6,30000.0,never,,,
Iranai Illupaikkulam,village,80.36391,8.85258,226.4,176.3,30000.0,never,,,
Navatkulam,village,80.54151,8.86229,227.1,181.2,30000.0,never,,,
Kakkayankulam,village,80.37841,8.86057,227.2,176.7,30000.0,never,,,
Omanthai,village,80.50312,8.86557,227.4,180.1,30000.0,never,,,
Ambatta Iluppaikulam,village,80.35966,8.86638,228.0,176.2,30000.0,never,,,
Arasankulam,village,80.50754,8.87336,228.2,180.3,30000.0,never,,,
Madhu,village,80.20301,8.85537,228.6,171.8,30000.0,never,,,
Alaikallupoddakulam,village,80.55718,8.87683,228.7,181.6,30000.0,never,,,
Kelabogaswewa,village,80.65627,8.87231,228.8,184.4,30000.0,never,,,
Murunkan,village,80.03239,8.83264,229.6,167.1,30000.0,never,,,
Keerisuddan,village,80.30049,8.87975,230.0,174.6,30000.0,never,,,
Buhutiyagala,village,80.80003,8.87009,230.3,188.3,30000.0,never,,,
Vilaaththikulam,village,80.35922,8.89146,230.8,176.2,30000.0,never,,,
Puthiyavelarsinnakulam,village,80.52295,8.8993,231.1,180.7,30000.0,never,,,
Semamadu,village,80.58202,8.89819,231.2,182.3,30000.0,never,,,
Matharpanikkankulam,village,80.45811,8.90025,231.3,178.9,30000.0,never,,,
Mallikai,village,80.5644,8.90181,231.5,181.8,30000.0,never,,,
Arumugathaanputhukulam,village,80.54925,8.90259,231.5,181.4,30000.0,never,,,
Kuchchaveli,village,81.09962,8.81826,231.8,196.6,30000.0,never,,,
Palamoddai,village,80.43139,8.9063,232.0,178.2,30000.0,never,,,
Sripura Colony,village,80.76904,8.89118,232.1,187.4,30000.0,never,,,
Thatchana maruthamadu,village,80.21203,8.89658,233.0,172.2,30000.0,never,,,
Maraiyadiththakulam,village,80.53772,8.91706,233.1,181.1,30000.0,never,,,
Jayanthiwewa Colony,village,80.82839,8.89272,233.2,189.0,30000.0,never,,,
Panrikeithakulam,village,80.51283,8.91963,233.4,180.4,30000.0,never,,,
Kalmadukulam,village,80.60806,8.92209,233.9,183.0,30000.0,never,,,
Jayanthipura Colony,village,80.83065,8.89833,233.9,189.0,30000.0,never,,,
Kombuvaithakulam,village,80.4767,8.92551,234.0,179.4,30000.0,never,,,
Parakramapura,village,80.77519,8.908,234.1,187.5,30000.0,never,,,
SriTissapuraColony,village,80.84394,8.90117,234.4,189.3,30000.0,never,,,
Kulaankulam,village,80.68227,8.92219,234.5,185.0,30000.0,never,,,
